Период,Период
13,0.064
16,0.0651
18,0.0388
38,0.0587
40,0.08545
42,0.1079
44,0.0922
49,0.0059
52,0.09965
54,0.0748
55,0.06755
67,0.01755
70,0.03155
77,0.0042
99,0.18665
