nFinIndID	sPeriodType	nTB	nOSB	nVSP	nClientID	nProductMK	nProductGID	nCompanyGroupID	nChannelMK	nChannelGID	nSegmentMK	nSegmentGID	dtDate	nServiceChannelMK	sServiceChannelCd	nAdjTypeID	nPayTermId	nUFIID	nEFIID	nOrgProfitCenterGID	dvalue	nSegmentGID_RB	nSegmentGID_KIB	nIndustryGID
10	M	54	8625	-1	895987326	11040407	2058399	4	3080	173099	20202	102099	31.01.2021	1	MASS	9001	-1	900238	125	158799	1	-1	102099	?
10	M	55	9056	-1	668867026	4080000	2058699	4	3080	173099	20202	102099	31.10.2020	1	MASS	9001	-1	900238	125	158799	2	-1	102099	?
17	M	99	-1	-1	671120426	4060100	2059099	4	3080	172799	20202	102099	30.04.2020	1	MASS	9000	0	-1	?	158799	-1	-1	102099	?
10	M	42	6984	6984	670028426	11040407	2058399	4	3080	173099	20202	102099	28.02.2019	1	MASS	-2	-1	900238	125	152299	15	-1	102099	?
10	M	54	8622	756	1066459626	11040407	2058399	4	3080	172799	20402	101799	31.05.2020	1	MASS	9001	-1	900238	125	158799	1	-1	101799	?
17	M	13	8594	-1	820143626	4060100	2059099	4	3080	172799	20402	101799	31.07.2019	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
10	M	52	8619	-1	939253326	11040393	2059199	1	3080	172799	20402	101799	28.02.2018	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
17	M	99	-1	-1	1064644726	11040407	2058399	4	3080	172799	20402	101799	31.07.2021	1	MASS	9000	-1	-1	?	158799	-1	-1	101799	?
17	M	18	8603	-1	1022153426	11040407	2058399	4	3080	173099	20402	101799	31.01.2021	1	MASS	9001	-1	-1	?	158799	1	-1	101799	?
17	M	13	8592	8592	663659026	11040407	2058399	4	3080	173099	20401	102199	30.11.2020	1	MASS	9001	-1	-1	?	158799	3	-1	102199	?
17	M	44	8644	8644	1012127126	11040407	2058399	4	3080	173099	20402	101799	31.01.2019	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
17	M	13	8592	0	1136950926	11040407	2058399	4	3080	172799	20201	102299	30.04.2021	1	MASS	9001	-1	-1	?	158799	1	-1	102299	?
17	M	52	8579	8579	29798541026	11040393	2059199	1	3080	172799	20402	101799	30.04.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
17	M	99	-1	-1	851760426	4060100	2059099	4	3080	172799	20201	102299	31.05.2021	1	MASS	9000	-1	-1	?	158799	-1	-1	102299	?
10	M	54	1039	-1	30636330026	11040393	2059199	1	3080	172799	20402	101799	31.01.2018	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
10	M	52	5221	5221	28974730026	11040407	2058399	4	3080	172799	20402	101799	30.06.2020	1	MASS	9001	-1	900238	125	158799	2	-1	101799	?
10	M	99	-1	-1	29026458026	11040407	2058399	4	3080	173099	20402	101799	30.06.2021	1	MASS	9000	-1	900238	125	158799	-3	-1	101799	?
17	M	44	8047	8047	661898026	11040407	2058399	4	3080	173099	20201	102299	29.02.2020	1	MASS	9001	-1	-1	?	158799	1	-1	102299	?
17	M	40	8609	-1	30891226026	11040393	2059199	1	3080	172799	20402	101799	31.03.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
10	M	99	-1	-1	30440480026	11040407	2058399	4	3080	172799	20401	102199	30.11.2020	1	MASS	9000	0	900238	125	158799	-3	-1	102199	?
13	M	40	1023	-1	30657609026	11040393	2059199	6	3080	172799	20402	101799	31.05.2018	1	MASS	-2	-1	900244	1030	148199	1	-1	101799	?
10	M	16	7003	22	1089484426	4060100	2059099	4	3080	173099	20402	101799	31.03.2019	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
10	M	40	8604	-1	670765126	11040407	2058399	4	3080	172799	20401	102199	31.10.2018	1	MASS	-2	-1	900238	125	151999	1	-1	102199	?
1	M	55	8630	1	663697226	11040393	2059199	6	3080	173099	20402	101799	31.03.2020	1	MASS	60001	-1	5000012	1865	148199	312,5	-1	101799	?
17	M	38	9038	23	1041926626	4080000	2058699	4	3080	173099	20402	101799	31.12.2019	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
10	M	99	-1	-1	977165126	11040407	2058399	4	3080	172799	20402	101799	31.08.2021	1	MASS	9000	-1	900238	125	158799	-2	-1	101799	?
17	M	42	9042	9042	28829594026	4080000	2058699	4	3080	172799	20202	102099	30.09.2019	1	MASS	-2	-1	-1	?	152299	3	-1	102099	?
10	M	54	8625	8625	670556726	11040407	2058399	4	3080	172799	20202	102099	31.08.2019	1	MASS	-2	-1	900238	125	152299	5	-1	102099	?
17	M	70	4157	-1	665283426	11040407	2058399	4	3080	172799	10100	101699	31.08.2020	1	MASS	9001	-1	-1	?	158799	1	-1	101699	?
10	M	49	-1	-1	924106526	11040407	2058399	4	3080	172799	20402	101799	31.12.2018	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
10	M	52	5230	6	993420726	4130104	2922399	2	3080	173099	20402	101799	31.01.2020	1	MASS	-2	-1	900238	125	158799	3	-1	101799	?
17	M	55	8626	-1	953301626	4130900	2060699	2	3080	172799	20402	101799	31.07.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
10	M	77	-1	-1	670566826	11040407	2058399	4	3080	172799	20402	101799	31.03.2019	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
10	M	44	8615	-1	883825026	11040407	2058399	4	3080	172799	20402	101799	31.08.2021	1	MASS	9001	-1	900238	125	158799	1	-1	101799	?
17	M	99	-1	-1	876244526	11040407	2058399	4	3080	173099	20401	102199	31.07.2020	1	MASS	9000	0	-1	?	158799	-1	-1	102199	?
17	M	67	8634	8634	1048504926	11040407	2058399	4	3080	172799	20402	101799	31.01.2021	1	MASS	9001	-1	-1	?	158799	2	-1	101799	?
10	M	99	-1	-1	671873926	11040407	2058399	4	3080	173099	20201	102299	30.09.2020	1	MASS	9000	0	900238	125	158799	-1	-1	102299	?
17	M	13	8592	6	54879470042	4130104	2922399	2	3080	173099	20402	101799	30.11.2019	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
10	M	99	-1	-1	50236595042	4080000	2058699	4	3080	173099	20402	101799	29.02.2020	1	MASS	9000	0	900238	125	158799	-1	-1	101799	?
17	M	99	-1	-1	664326326	11040407	2058399	4	3080	172799	20201	102299	31.07.2020	1	MASS	9000	0	-1	?	158799	-1	-1	102299	?
17	M	44	8644	1	661932626	4080000	2058699	4	3080	173099	20201	102299	31.08.2021	1	MASS	9001	-1	-1	?	158799	5	-1	102299	?
10	M	40	8609	4	1056624526	11040393	2059199	1	3080	173099	20402	101799	31.12.2020	1	MASS	-2	-1	900238	125	158799	1	-1	101799	?
17	M	13	8594	0	669195926	11040407	2058399	4	3080	173099	20202	102099	31.07.2021	1	MASS	9001	-1	-1	?	158799	2	-1	102099	?
10	M	44	8616	8616	1018077626	4080000	2058699	4	3080	173099	20402	101799	31.03.2019	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
17	M	13	9013	-1	664797026	11040407	2058399	4	3080	172799	20202	102099	31.03.2018	1	MASS	-2	-1	-1	?	152299	1	-1	102099	?
17	M	54	8621	8	1043785226	4060100	2059099	4	3080	173099	20402	101799	31.01.2021	1	MASS	9001	-1	-1	?	158799	1	-1	101799	?
17	M	99	-1	-1	829847426	4080000	2058699	4	3080	173099	20201	102299	31.01.2021	1	MASS	9000	-1	-1	?	158799	-1	-1	102299	?
10	M	44	8644	-1	671093026	4080000	2058699	4	3080	173099	20202	102099	31.05.2019	1	MASS	-2	-1	900238	125	152299	1	-1	102099	?
17	M	67	8634	-1	29572660026	4060100	2059099	4	3080	173099	20402	101799	31.01.2019	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
17	M	44	8047	8047	665327526	11040407	2058399	4	3080	172799	20401	102199	31.05.2018	1	MASS	-2	-1	-1	?	151999	1	-1	102199	?
17	M	13	9013	-1	928616326	11040407	2058399	4	3080	172799	20402	101799	31.07.2020	1	MASS	9001	-1	-1	?	158799	1	-1	101799	?
17	M	16	7003	22	887246326	4130800	2059599	1	3080	173099	20402	101799	31.12.2020	1	MASS	-2	-1	-1	?	158799	1	-1	101799	?
10	M	99	-1	-1	31636817026	4060100	2059099	4	3080	173099	20402	101799	31.03.2020	1	MASS	9000	0	900238	125	158799	-3	-1	101799	?
10	M	99	-1	-1	1007144726	11040407	2058399	4	3080	173099	20402	101799	30.06.2021	1	MASS	9000	-1	900238	125	158799	-2	-1	101799	?
17	M	16	1790	-1	49242288042	4130800	2059599	1	3080	173099	20402	101799	31.08.2021	1	MASS	-2	-1	-1	?	158799	1	-1	101799	?
10	M	44	8047	8047	683513026	4130700	2058199	6	3080	172799	20402	101799	31.08.2018	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
10	M	44	8616	1	29321872026	4130103	2919599	6	3080	173099	20402	101799	31.08.2020	1	MASS	-2	-1	900238	125	158799	1	-1	101799	?
17	M	99	-1	-1	31710830026	4060100	2059099	4	3080	173099	20402	101799	31.01.2020	1	MASS	9000	0	-1	?	158799	-1	-1	101799	?
17	M	99	-1	-1	754420526	4080000	2058699	4	3080	173099	20402	101799	31.01.2020	1	MASS	9000	0	-1	?	158799	-1	-1	101799	?
10	M	38	9038	44	1153451226	4130104	2922399	2	3080	173099	20402	101799	31.03.2020	1	MASS	-2	-1	900238	125	158799	1	-1	101799	?
10	M	40	8639	1	991753126	4130800	2059599	1	3080	173099	20402	101799	31.03.2021	1	MASS	-2	-1	900238	125	158799	1	-1	101799	?
10	M	13	8593	-1	31016612026	11040393	2059199	6	3080	172799	20402	101799	31.03.2018	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
10	M	44	8634	5	884738726	11040407	2058399	4	3080	173099	20402	101799	30.06.2021	1	MASS	9001	-1	900238	125	158799	9	-1	101799	?
17	M	16	8369	-1	49565998042	11040407	2058399	4	3080	173099	20402	101799	30.06.2021	1	MASS	9001	-1	-1	?	158799	1	-1	101799	?
10	M	52	5230	4	30260043026	4130800	2059599	1	3080	173099	20402	101799	30.04.2021	1	MASS	-2	-1	900238	125	158799	1	-1	101799	?
17	M	52	8619	-1	998033626	11040393	2059199	1	3080	172799	20402	101799	31.05.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
10	M	55	9055	23	32418756026	4080000	2058699	4	3080	173099	20402	101799	30.09.2020	1	MASS	9001	-1	900238	125	158799	1	-1	101799	?
11	M	44	8634	5	1076006026	4130104	2922399	2	3080	173099	20402	101799	30.04.2021	1	MASS	-2	-1	900241	1029	158799	1	-1	101799	?
18	M	54	6991	7	884367026	4080000	2058699	4	3080	173099	20401	102199	30.04.2021	1	MASS	9001	-1	-1	?	158799	1	-1	102199	?
1	M	99	-1	-1	30505719026	4060100	2059099	4	3080	173099	20402	101799	31.05.2020	1	MASS	9000	0	900225	1034	158799	-4500	-1	101799	?
17	M	44	8047	8047	666480726	4080000	2058699	4	3080	173099	20202	102099	31.12.2019	1	MASS	-2	-1	-1	?	152299	1	-1	102099	?
17	M	16	1790	-1	1037126026	4060100	2059099	4	3080	173099	20402	101799	31.03.2020	1	MASS	9001	-1	-1	?	158799	1	-1	101799	?
18	M	55	9055	3	904063226	4080000	2058699	4	3080	173099	20202	102099	30.06.2021	1	MASS	9001	-1	-1	?	158799	1	-1	102099	?
17	M	42	6984	3	30659459026	4130800	2059599	1	3080	173099	20402	101799	31.01.2020	1	MASS	-2	-1	-1	?	158799	1	-1	101799	?
10	M	99	-1	-1	661887226	11040407	2058399	4	3080	173099	20202	102099	31.08.2021	1	MASS	9000	-1	900238	125	158799	-7	-1	102099	?
17	M	54	8622	776	1004912426	11040407	2058399	4	3080	173099	20402	101799	30.06.2021	1	MASS	9001	-1	-1	?	158799	1	-1	101799	?
10	M	67	1791	-1	669526826	11040407	2058399	4	3080	172799	20202	102099	31.10.2018	1	MASS	-2	-1	900238	125	152299	1	-1	102099	?
10	M	54	1039	-1	30617689026	11040393	2059199	1	3080	172799	20402	101799	31.01.2018	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
10	M	99	-1	-1	861033726	11040407	2058399	4	3080	172799	20402	101799	31.05.2020	1	MASS	9000	0	900238	125	158799	-5	-1	101799	?
17	M	52	8619	28	49254099042	11040393	2059199	1	3080	173099	20402	101799	30.09.2020	1	MASS	-2	-1	-1	?	158799	1	-1	101799	?
17	M	52	8619	12	31083887026	11040407	2058399	4	3080	173099	20401	102199	31.10.2020	1	MASS	9001	-1	-1	?	158799	1	-1	102199	?
10	M	38	9038	1811	32035922026	4130800	2059599	1	3080	173099	20402	101799	31.12.2018	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
17	M	55	8617	2	1000603926	4130800	2059599	1	3080	173099	20402	101799	31.05.2020	1	MASS	-2	-1	-1	?	158799	1	-1	101799	?
17	M	40	8607	8607	666411826	4130200	2058599	6	3080	172799	20202	102099	31.10.2019	1	MASS	-2	-1	-1	?	152299	1	-1	102099	?
17	M	13	9013	12	926021226	4130104	2922399	2	3080	173099	20402	101799	30.11.2020	1	MASS	-2	-1	-1	?	158799	1	-1	101799	?
17	M	55	9055	36	32162545026	4130101	2060599	6	3080	173099	20402	101799	31.01.2020	1	MASS	-2	-1	-1	?	158799	1	-1	101799	?
10	M	99	-1	-1	665181726	11040407	2058399	4	3080	172799	20401	102199	31.03.2020	1	MASS	9000	0	900238	125	158799	-4	-1	102199	?
1	M	13	9013	14	49135579042	4130101	2060599	6	3080	173099	20402	101799	29.02.2020	1	MASS	60001	-1	6400442	1033	148199	247,5	-1	101799	?
10	M	44	8646	5	674129526	4130104	2922399	2	3080	173099	20402	101799	31.10.2020	1	MASS	-2	-1	900238	125	158799	4	-1	101799	?
10	M	52	5230	369	1087069326	11040393	2059199	1	3080	173099	20402	101799	31.05.2018	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
17	M	13	8593	8593	663832026	11040407	2058399	4	3080	172799	20401	102199	31.12.2018	1	MASS	-2	-1	-1	?	151999	1	-1	102199	?
10	M	40	1024	6	971763926	4130800	2059599	1	3080	173099	20402	101799	31.03.2021	1	MASS	-2	-1	900238	125	158799	1	-1	101799	?
17	M	67	5940	-1	900878426	4130900	2060699	2	3080	172799	20402	101799	30.06.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
17	M	99	-1	-1	1026078526	4080000	2058699	4	3080	173099	20402	101799	29.02.2020	1	MASS	9000	0	-1	?	158799	-25	-1	101799	?
17	M	42	9042	9042	668292026	4060100	2059099	4	3080	172799	20202	102099	30.09.2018	1	MASS	-2	-1	-1	?	152299	1	-1	102099	?
18	M	54	8588	4	51506494042	4130102	2113099	6	3080	173099	20401	102199	30.06.2021	1	MASS	-2	-1	-1	?	158799	1	-1	102199	?
10	M	42	8618	-1	661397026	4130500	2058999	6	3080	172799	20401	102199	30.06.2018	1	MASS	-2	-1	900238	125	151999	3	-1	102199	?
17	M	40	8608	141	665490626	11040407	2058399	4	3080	172799	20402	101799	31.03.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
17	M	67	5940	-1	1048430626	4080000	2058699	4	3080	173099	20402	101799	31.12.2018	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
17	M	99	-1	-1	701404526	4080000	2058699	4	3080	173099	20202	102099	31.08.2021	1	MASS	9000	-1	-1	?	158799	-1	-1	102099	?
10	M	40	8606	54	750230726	11040407	2058399	4	3080	172799	20402	101799	31.12.2020	1	MASS	9001	-1	900238	125	158799	2	-1	101799	?
17	M	13	9013	-1	661587926	11040407	2058399	4	3080	172799	20202	102099	28.02.2019	1	MASS	-2	-1	-1	?	152299	2	-1	102099	?
17	M	77	-1	-1	990123226	11040407	2058399	4	3080	172799	20402	101799	31.08.2019	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
17	M	99	-1	-1	661822526	4080000	2058699	4	3080	172799	20202	102099	30.09.2020	1	MASS	9000	0	-1	?	158799	-1	-1	102099	?
13	M	99	-1	-1	1159777126	4080000	2058699	4	3080	173099	20402	101799	29.02.2020	1	MASS	9000	0	900244	1030	158799	-2	-1	101799	?
2	M	55	9056	-1	661853926	11040407	2058399	4	3080	173099	20201	102299	30.04.2021	1	MASS	9001	-1	10601043	1034	158799	-42361,88	-1	102299	?
10	M	52	5221	8	48903472042	11040393	2059199	2	3080	173099	20402	101799	31.07.2021	1	MASS	-2	-1	900238	125	158799	1	-1	101799	?
17	M	55	8626	4	29602381026	4060100	2059099	4	3080	173099	20402	101799	31.12.2020	1	MASS	9001	-1	-1	?	158799	1	-1	101799	?
17	M	99	-1	-1	31270742026	11040407	2058399	4	3080	173099	20402	101799	31.01.2021	1	MASS	9000	-1	-1	?	158799	-1	-1	101799	?
17	M	42	8612	-1	812074826	11040407	2058399	4	3080	172799	20402	101799	31.08.2020	1	MASS	9001	-1	-1	?	158799	1	-1	101799	?
17	M	52	5230	3	31555166026	11040393	2059199	1	3080	173099	20402	101799	31.10.2019	1	MASS	-2	-1	-1	?	148199	1	-1	101799	?
10	M	52	8590	-1	30320682026	11040393	2059199	1	3080	172799	20402	101799	31.05.2019	1	MASS	-2	-1	900238	125	148199	1	-1	101799	?
